id,group_name
7721,БИВТ-22-2
7722,БИВТ-22-3
7723,БПМ-22-1
7724,БИВТ-22-4
7725,БИВТ-22-1
7727,БИВТ-22-13
7728,БИВТ-22-15
7729,ММТ-22-1
7730,ММТ-22-8
7731,ММТМ-22-9
7732,МЭЭ-22-1
7733,МЭЭ-22-2
7734,МТМО-22-7
7739,МО-22
7741,ОМ-22 ЗО
7742,МО-22 ЗО
7743,МиТМ-22
7744,ЭМ-22
7745,СГТ-22-2
7746,СГТ-22-3
7747,СГТ-22-4
7749,СГТ-22-6
7750,СГТ-22-7
7751,БЭЭ-22-1
7752,СГТ-22-5
7756,МИВТ-22-4
7757,ММТМ-22-3
7758,БПИ-20-10
7759,БМН-20-4
7760,БМН-20-5
7770,МЭК-22-3
7771,МТМО-22-3
7772,ММТ-22-10А
7773,ММТМ-22-10А
7774,ММТМ-22-11А
7777,БПМ-22-2
7782,БИВТ-22-10
7793,БИВТ-22-7
7818,БИВТ-22-14
7829,БИВТ-22-17
7848,БИВТ-22-8
7849,БИВТ-22-9
7894,СГТ-22-1
7895,БНТМ-22-1
7908,БИВТ-22-5
7909,БИВТ-22-6
7910,БНТМ-22-2
7911,БИВТ-22-12
7912,БЭК-22-4
7913,БЭК-22-5
7914,БЭК-22-6
7915,БИВТ-22-11
7916,БЭК-22-7
7917,БЭК-22-8
7955,БПМ-22-4
7956,БЭК-22-9
7957,ББИ-22-5
7958,ББИ-22-6
7959,ББИ-22-7
7960,БИВТ-22-18
7982,БИВТ-22-19
7983,БИВТ-22-21
7984,БИВТ-22-20
7985,ББИ-22-8
7990,БЭК-22-10
